date,instance_usage,cpu_usage,mem_usage,MISC_usage,P100_usage,T4_usage,V100_usage,V100M32_usage,MISC_mem_usage,P100_mem_usage,T4_mem_usage,V100_mem_usage,V100M32_mem_usage
2020-07-12 15:10:00,2274.5000000000005,58151053901.58925,1974194096.314848,959174962.812544,1627845827.8460782,260957620.2506677,104255661.87333094,1041924211.3875474,225245172.8316818,187473826.14242235,78694862.86096907,6303492.883092017,296085600.96390414
2020-07-12 15:15:00,2271.9766666666665,58084638247.32614,1972740100.9438856,963212797.7658328,1609558137.971884,260564416.0327758,104323594.73882182,1026908730.4094368,225386761.75675136,184944889.2084979,78643166.87957391,6311733.215478336,291891473.9065629
2020-07-12 15:20:00,2337.3700000000003,58748240248.10829,1980811137.668304,966789298.97179,1608009245.330655,261609409.1369402,104190208.32509094,1026908730.4094368,225741845.83260503,184749137.4467793,78553686.12035288,6301428.829434573,291891473.9065629
2020-07-12 15:25:00,2382.08,58959917952.66937,1977569701.31098,969509656.4175296,1607911712.640108,261752033.04704583,103989735.17509869,1026908730.4094368,225469017.06382588,184718106.83014065,78534395.89011066,6198789.7973211855,291891473.9065629
2020-07-12 15:30:00,2473.1866666666674,59065275487.41996,1978303031.9144323,968923045.7191414,1607540820.8494468,263269151.2399212,103812603.8330426,1026908730.4094368,225084817.6537884,183866779.6103361,78718083.75580743,6174927.531313564,291891473.9065629
2020-07-12 15:35:00,2551.2233333333334,59896071209.87742,2006475078.0435305,976691398.0882652,1759595270.6152997,264475756.69755164,103817675.15591995,1026908730.4094368,226489165.9731195,197857182.3731048,78678000.02406959,6176324.18233074,291891473.9065629
2020-07-12 15:40:00,2494.543333333333,59725025267.87369,2002273921.887017,973830833.1172938,1770298921.8055203,263562447.76910725,103594806.98813914,1026908730.4094368,225689181.61415288,198319538.6988816,78483108.86789781,6153246.231233248,291891473.9065629
2020-07-12 15:45:00,2462.213333333333,59734284277.90125,2002605244.073955,971555418.7784288,1771779996.386211,262826386.74428672,103354056.39905234,1026908730.4094368,224935280.64417467,198385367.7616977,78442220.96189694,6127884.832331625,291891473.9065629
2020-07-12 15:50:00,2416.686666666667,59705768134.54263,2003192211.22491,968751621.4969004,1771741642.3824985,261623253.4785703,103352720.53839196,1026908730.4094368,224312988.2125988,198258726.3574732,78392482.97474967,6127516.934014905,291891473.9065629
2020-07-12 15:55:00,2441.17,59651962121.63776,1998627816.89757,952242052.3851186,1771745311.1770852,262733749.9678089,103224706.56641825,1026908730.4094368,221621060.52233112,198252501.0780096,81056845.51638244,6116213.497103718,291891473.9065629
2020-07-12 16:00:00,2404.453333333334,59489658168.95418,1996694779.7022736,951208851.783202,1772573856.0491283,263097695.09199604,103000891.82403354,1026908730.4094368,221068479.48689783,198630114.6586952,82205955.48125222,6098148.196871193,291891473.9065629
2020-07-12 16:05:00,2508.0666666666657,59255748396.97272,1996416943.078678,950313852.2370342,1769647377.7142973,262548787.0686305,104831231.12439331,1026908730.4094368,220684997.756568,198997209.5683424,82167787.986442,6026163.372177265,291891473.9065629
2020-07-12 16:10:00,2499.98,59156353727.33161,1999151099.9436543,952827691.646492,1769388272.0582745,262010183.7012677,109542145.6880716,1026908730.4094368,220731788.1724513,198970098.2048835,81820787.22385575,6439982.190569043,291891473.9065629
2020-07-12 16:15:00,2435.17,59010185282.4759,1996606513.467348,951456027.1219192,1766843870.1220326,260724948.9647225,112174066.5706966,1026908730.4094368,220670790.88042,198497724.0901256,81475262.81611964,6845104.334075283,291891473.9065629
2020-07-12 16:20:00,2404.943333333333,58648064192.15264,1992334642.93582,949683347.1834446,1766571456.4305856,260152091.8658057,112302863.44217034,1013198697.80704,220770145.3101596,198398439.06266123,81413651.80060092,6846632.9204699695,290797419.4084878
2020-07-12 16:25:00,2457.08,58967768330.46802,2000127970.575837,974097347.0884165,1766156106.3425431,259952250.66916475,112694485.15907834,1010052781.3060648,222500666.8571216,198297713.0940057,81284001.34225452,6873611.106220685,290546648.69229007
2020-07-12 16:30:00,2514.1200000000003,59029241057.98279,2002172607.3764727,976853923.5700068,1771185137.0664053,260396858.0414941,112818791.34237656,1010052781.3060648,222532036.63353592,198586951.99005625,81235060.5770621,6878262.6699522855,290546648.69229007
2020-07-12 16:35:00,2771.05,59058789369.64429,2008394944.72748,977668483.3729244,1780614555.3200903,276002496.8409402,112818791.34237656,1010052781.3060648,222071628.5401577,199183417.32994527,81634006.87181988,6878262.6699522855,290546648.69229007
2020-07-12 16:40:00,2826.620000000001,58974281836.27971,2006650977.0855925,977421625.0706438,1780619876.9490838,289804547.9122281,112818791.34237656,1010052781.3060648,221521478.69089305,199172343.9137351,82134269.26767202,6878262.6699522855,290546648.69229007
2020-07-12 16:45:00,2802.119999999999,58493424927.69675,1998300300.0283203,972851273.0458229,1767033294.0858328,292815267.37759674,112791694.81933352,1010052781.3060648,220316848.0801811,197185518.0096513,82208856.14133939,6858347.246350775,290546648.69229007
2020-07-12 16:50:00,2822.9633333333327,58239126594.11552,1999470722.8541744,971088168.9841448,1799434330.683617,291851861.8043584,112748588.7317053,1010052781.3060648,219778104.1298339,200931056.49736032,81972866.77340858,6839241.065801727,290546648.69229007
2020-07-12 16:55:00,2750.723333333333,57837882825.15207,1994465053.3202689,969347823.476776,1798949231.9187047,285774424.9290326,112748588.7317053,1010052781.3060648,219067340.467844,200685593.84867805,81645996.79071133,6839241.065801727,290546648.69229007
2020-07-12 17:00:00,2631.056666666668,57748400562.20991,1987021135.9304607,967661542.548861,1798755223.093469,284140396.95555323,112748588.7317053,1008515344.8376428,218793696.7550952,200578038.5908388,81557012.18552974,6839241.065801727,290169187.82519746
2020-07-12 17:05:00,2577.89,57020900414.28153,1963809903.9587235,901886826.2255796,1806325222.5208848,279337400.5410612,112666062.46897256,990834825.4507908,213475062.0018651,200924967.35797447,81332344.39202832,6802896.468139487,285828387.8536327
2020-07-12 17:10:00,2497.609999999999,56380116495.310844,1948107842.4519265,853811563.8215189,1807728302.1080017,276719817.88357145,112561249.05589692,990834825.4507908,208578386.71597287,200969347.807031,81171966.50231247,6720437.803487563,285828387.8536327
2020-07-12 17:15:00,2523.4000000000005,56277170246.42252,1949600551.682651,847560633.0130943,1807784577.4029443,274730212.6191189,112282166.44226211,990834825.4507908,208075876.6858668,201287496.3982135,81064875.595282,6685923.810445371,285828387.8536327
2020-07-12 17:20:00,2569.9633333333336,56196465713.22384,1948357444.839897,846722453.8257779,1817132025.9086947,272824077.63600594,110963913.51427534,990834825.4507908,207745367.3095733,202705037.4463381,81013012.77448744,6509077.86057207,285828387.8536327
2020-07-12 17:25:00,2499.36,56084028973.30414,1948822389.792981,846933749.0488102,1836243733.376988,268830848.375038,109939268.0590178,990834825.4507908,207757804.1538773,204681922.52927345,80789345.17908813,6319815.296359509,285828387.8536327
2020-07-12 17:30:00,2491.4266666666667,55838252819.65045,1943899324.4342928,845099665.9697512,1822113743.299024,267188276.581281,109403495.4149626,990834825.4507908,207337432.2523885,203000095.17448884,80485651.38263033,6216792.185387008,285828387.8536327
2020-07-12 17:35:00,2493.023333333333,55529996380.75506,1938249142.088636,844089339.241877,1801730255.8943288,268091778.3198133,109235938.26006173,990834825.4507908,207136076.1000828,200313047.85173377,79891252.48042662,6184941.151476099,285828387.8536327
2020-07-12 17:40:00,2467.4,55431448819.49979,1922801656.7190783,841844556.998012,1801954088.406571,264744735.6444058,108989765.08981691,990834825.4507908,206550435.4713733,199902512.2997749,79416066.49347804,6146017.870216956,285828387.8536327
2020-07-12 17:45:00,2453.573333333333,55710018145.48201,1895441933.970879,843671297.9289854,1802405670.918824,257851662.30939496,108892155.63553058,990834825.4507908,206783638.12206027,199994010.567734,77988118.36989361,6128959.710549863,285828387.8536327
2020-07-12 17:50:00,2491.5,55659854285.11497,1844827294.044291,842130695.480632,1802582050.0507736,248371250.81557825,108840375.99367572,990723691.5961416,206324179.29033348,200056762.53459543,75867280.12404779,6117473.680502849,285804152.2733728
2020-07-12 17:55:00,2563.0733333333333,55453273476.091644,1806506396.6708395,839621104.72931,1803443554.5643568,240997417.76267892,108821547.03300124,990687302.6348848,206102351.0830371,200324595.00720343,74080021.80917878,6113296.942303935,285796216.72939384
2020-07-12 18:00:00,2540.9500000000003,55118194576.2366,1757949000.2452607,829438794.8257334,1803368519.518945,232956173.0943041,108821547.03300124,990687302.6348848,204257263.70191395,200319490.5108769,72195771.53846607,6113296.942303935,285796216.72939384
2020-07-12 18:05:00,2490.81,54918319794.41443,1702155214.215027,834094828.7596126,1803364991.0937035,223687521.38964367,108821547.03300124,990687302.6348848,203424185.9592292,200343581.8059874,69983044.8403283,6113296.942303935,285796216.72939384
2020-07-12 18:10:00,2503.656666666668,54678604218.86161,1666094325.3366942,835590801.1966581,1803233023.4557388,215879119.7743312,108750973.62619904,990687302.6348848,202951694.50363976,200350237.7445326,68071431.35507998,6031042.600759574,285796216.72939384
2020-07-12 18:15:00,2470.47,54351418643.53836,1637569951.0581112,831835224.7974454,1802797005.5189009,211118358.04669848,108654905.35853678,990687302.6348848,201328110.8958068,200283012.15270865,66876898.41069337,5931953.220732846,285796216.72939384
2020-07-12 18:20:00,2531.546666666666,54205241830.84576,1624862965.377703,823997640.0240835,1809198217.7668712,210830351.2533413,108626540.44256376,990687302.6348848,199208656.8989952,200716295.7516408,66785513.53656646,5836044.240526575,285796216.72939384
2020-07-12 18:25:00,2597.730000000001,54433973867.53306,1630205924.1127903,816340844.9564804,1826842656.2449827,208147516.9364737,108574713.94855084,990687302.6348848,197384439.8709917,201940596.3523201,66729444.11226374,5821711.15665429,285796216.72939384
