date,instance_request,cpu_request,mem_request,MISC_request,P100_request,T4_request,V100M32_request,V100_request
2020-07-07 02:45:00,6811.756666666667,403330526078.3333,15232811310.267252,16569452274.416668,7057288450.0,1613570682.4999998,7729097283.0,4913378076.0
2020-07-07 02:50:00,6743.67,402145686754.0,15192975288.026825,16556737639.916666,7057288450.0,1592388336.1666667,7725339568.0,4912430660.0
2020-07-07 02:55:00,6778.096666666668,402738563537.9333,15210292280.765757,16616897157.55,7057288450.0,1579423099.9166667,7669633785.666667,4891784300.0
2020-07-07 03:00:00,6768.33,402473032521.26666,15204355146.559504,16616183605.05,7055512214.0,1575561308.5000002,7617459481.0,4891784300.0
2020-07-07 03:05:00,6834.306666666666,402254246203.13336,15213207672.837566,16630213544.733334,7055086260.0,1574207212.5,7597061898.666667,4891784300.0
2020-07-07 03:10:00,6914.723333333334,402017764201.2,15216532922.140142,16624924908.266666,7110549050.0,1580109475.6666667,7542392332.666666,4891784300.0
2020-07-07 03:15:00,7003.919999999999,401760993046.6666,15221663663.914717,16603191072.666668,7181066874.0,1565172626.0000002,7473996506.0,4891784300.0
2020-07-07 03:20:00,7047.186666666668,400683375049.7333,15213702992.163267,16585094250.7,7191288250.0,1542798105.8333335,7471441009.333333,4891784300.0
2020-07-07 03:25:00,6992.950000000001,399589830407.0667,15183434335.749672,16568901678.366669,7168368483.333333,1538763217.8666668,7467453480.666667,4891784300.0
2020-07-07 03:30:00,6940.3966666666665,399562127761.06665,15176179611.650728,16565768553.7,7168368250.0,1537426877.6666665,7465325950.0,4891561181.0
2020-07-07 03:35:00,6801.42,394610793325.3334,15010843857.548672,16556236461.833334,6897003203.333334,1531027920.6666667,7465325950.0,4886635400.0
2020-07-07 03:40:00,6763.9766666666665,392996330607.33325,14996301527.136068,16581918500.166668,6857028183.333334,1526110959.6666665,7465325950.0,4886635400.0
2020-07-07 03:45:00,6768.96,393831939985.3334,15036755147.78982,16576142460.75,6950092950.0,1526523539.0,7462124506.0,4886635400.0
2020-07-07 03:50:00,7091.663333333334,400949056508.0,15364730300.4125,17598963051.1,6994632080.333333,1529558714.3333333,7461421750.0,4886635400.0
2020-07-07 03:55:00,7157.96,402311079515.3334,15437932188.121744,17822207440.833336,7017721947.666666,1529578876.0,7457963086.0,4886635400.0
2020-07-07 04:00:00,7116.993333333333,400775887960.6667,15403881976.171871,17757002914.416664,7020741655.333332,1529581248.3333335,7449941962.333333,4886635400.0
2020-07-07 04:05:00,7057.623333333335,403172950590.3334,15409166317.177734,17798817817.333336,7020962301.0,1532624147.0,7448140050.0,4886635400.0
2020-07-07 04:10:00,7200.833333333333,406921932773.5333,15464170464.82422,17883456008.516666,7021103289.333334,1544652925.0,7448140050.0,4886635400.0
2020-07-07 04:15:00,7176.786666666665,406968272765.06665,15463340564.774157,17889944923.45,7021399272.0,1534224888.0666668,7448140050.0,4886635400.0
2020-07-07 04:20:00,7147.090000000001,406976878103.0,15460999240.513866,17888826371.716667,7021455878.0,1537143698.416667,7448140050.0,4886635400.0
2020-07-07 04:25:00,7142.086666666666,406711263512.6666,15444878853.145378,17871273424.36667,7021256838.666667,1535542823.0,7448140050.0,4887758448.0
2020-07-07 04:30:00,7055.043333333334,404469471997.3334,15320244325.045822,17750391150.1,7017491889.666667,1527347823.1666665,7447898510.0,4877857796.0
2020-07-07 04:35:00,6968.389999999999,404077332155.0,15311169569.631107,17746745374.083336,7012608903.500001,1519451876.0,7446282050.0,4864415384.0
2020-07-07 04:40:00,6757.026666666667,403568307460.0,15289649229.49414,17748685879.833336,7005280263.0,1511569881.8333333,7446282050.0,4845365976.0
2020-07-07 04:45:00,6731.929999999999,403636364781.6666,15291670177.727148,17761355959.199997,7004783227.333334,1505756587.5,7446282050.0,4838436200.0
2020-07-07 04:50:00,6734.8133333333335,405333855845.3334,15373561781.123114,17944281548.716663,7009448467.666668,1505757703.6666667,7446282050.0,4838436200.0
2020-07-07 04:55:00,6727.316666666668,405663704907.3333,15372641513.73479,17968816353.6,7017521867.666667,1505363257.6666665,7446282050.0,4835225762.666667
2020-07-07 05:00:00,6673.773333333332,405369610636.6666,15356969035.70638,17962343399.433334,7022111028.333333,1481842685.6666665,7446282050.0,4827237000.0
2020-07-07 05:05:00,6628.206666666667,405094025404.0,15347237431.201172,17957768699.56667,7025233507.0,1465128865.0,7446282050.0,4827237000.0
2020-07-07 05:10:00,6562.156666666668,404737950593.3333,15332297853.609505,17937193851.866665,7024905700.0,1456159367.6666667,7446282050.0,4827237000.0
2020-07-07 05:15:00,6574.333333333334,404450822223.3334,15324504439.523647,17927508592.23333,7024905700.0,1453072813.0,7446282050.0,4811238658.666666
2020-07-07 05:20:00,6672.160000000001,404530762150.0,15333101700.630598,17934471022.783333,7024905700.0,1452552382.75,7446282050.0,4797792200.0
